ip.src	tcp.srcport	ip.dst	tcp.dstport	data.data
192.168.2.2	2200	192.168.1.3	33400	ea03379cec87785dfe37f2659ced00621059c78404f5e82fea10e0ca620b4ce60c6a6722d9ba5ff68f1096b4055afe491d2039273c89861125a11e862de82d440b07b67a
192.168.2.2	2200	192.168.1.3	33400	58294398d474cd46520c98b3ad746f711ed02c5bc1f2c920c42b99cd856938923b3e886a92a729d70448f69ee9edb8fb0d10199d80e027174a3e64c0d455755ebc87e3a0c7370c86cee5a0987cd31a66bf5659dfb6ef3e8f680419cf7864ce9ad94ce67da1afaf7c1e8734d0cb66748c3e248036a9c676c00b808f7b51533fdadbadae189adb4b59cb00d4ec18444d3cf0edc0fa37726354a6cd9236003c458cf4957e595dc496108c213daf7a5e5f1b
192.168.1.3	33400	192.168.2.2	2200	
192.168.1.3	33400	192.168.2.2	2200	5667db9a601fb5fc2599a30cce37e4e1d68c05790653afc934b2893b623de13d1bc8fe5c
192.168.1.3	33400	192.168.2.2	2200	3268a22f8a0dc80c0f7e305dc094420c264646ae42cd370e9a8121e89ce0bb473f310d8b82a70b88f7b86e67e80b1d5b8a6f06e989ebaab470b79c88
192.168.1.3	33400	192.168.2.2	2200	
192.168.2.2	2200	192.168.1.3	33400	
192.168.2.2	2200	192.168.1.3	33400	
192.168.2.2	2200	192.168.1.3	33400	
192.168.1.3	33400	192.168.2.2	2200	
