frame.number	ip.src	tcp.srcport	ip.dst	tcp.dstport
493	192.168.1.3	54082	185.199.110.133	443
494	192.168.1.3	54082	185.199.110.133	443
495	185.199.110.133	443	192.168.1.3	54082
496	185.199.110.133	443	192.168.1.3	54082
497	185.199.110.133	443	192.168.1.3	54082
498	192.168.1.3	54082	185.199.110.133	443
499	192.168.1.3	54082	185.199.110.133	443
500	192.168.1.3	54082	185.199.110.133	443
501	185.199.110.133	443	192.168.1.3	54082
502	185.199.110.133	443	192.168.1.3	54082
503	185.199.110.133	443	192.168.1.3	54082
504	185.199.110.133	443	192.168.1.3	54082
505	185.199.110.133	443	192.168.1.3	54082
506	185.199.110.133	443	192.168.1.3	54082
507	185.199.110.133	443	192.168.1.3	54082
508	192.168.1.3	54082	185.199.110.133	443
509	192.168.1.3	54082	185.199.110.133	443
510	192.168.1.3	54082	185.199.110.133	443
511	192.168.1.3	54082	185.199.110.133	443
512	192.168.1.3	54082	185.199.110.133	443
513	192.168.1.3	54082	185.199.110.133	443
514	192.168.1.3	54082	185.199.110.133	443
515	185.199.110.133	443	192.168.1.3	54082
516	185.199.110.133	443	192.168.1.3	54082
517	185.199.110.133	443	192.168.1.3	54082
518	192.168.1.3	54082	185.199.110.133	443
519	192.168.1.3	54082	185.199.110.133	443
520	192.168.1.3	54082	185.199.110.133	443
521	185.199.110.133	443	192.168.1.3	54082
522	185.199.110.133	443	192.168.1.3	54082
523	185.199.110.133	443	192.168.1.3	54082
524	192.168.1.3	54082	185.199.110.133	443
525	192.168.1.3	54082	185.199.110.133	443
526	192.168.1.3	54082	185.199.110.133	443
527	185.199.110.133	443	192.168.1.3	54082
528	185.199.110.133	443	192.168.1.3	54082
529	185.199.110.133	443	192.168.1.3	54082
530	185.199.110.133	443	192.168.1.3	54082
531	185.199.110.133	443	192.168.1.3	54082
532	185.199.110.133	443	192.168.1.3	54082
533	192.168.1.3	54082	185.199.110.133	443
534	192.168.1.3	54082	185.199.110.133	443
535	192.168.1.3	54082	185.199.110.133	443
536	192.168.1.3	54082	185.199.110.133	443
537	192.168.1.3	54082	185.199.110.133	443
538	192.168.1.3	54082	185.199.110.133	443
539	185.199.110.133	443	192.168.1.3	54082
540	185.199.110.133	443	192.168.1.3	54082
541	185.199.110.133	443	192.168.1.3	54082
542	185.199.110.133	443	192.168.1.3	54082
543	192.168.1.3	54082	185.199.110.133	443
